animal,type,zoo
Aldabra tortoise,amph/rep,San Antonio
Alligator snapping turtle,amph/rep,San Antonio
Alpine rattlesnake,amph/rep,San Antonio
Amazon tree boa,amph/rep,San Antonio
American alligator,amph/rep,San Antonio
Angolan python,amph/rep,San Antonio
Armenian viper,amph/rep,San Antonio
Armstrong’s rattlesnake,amph/rep,San Antonio
Aruba Island rattlesnake,amph/rep,San Antonio
Ball python,amph/rep,San Antonio
Banded alligator lizard,amph/rep,San Antonio
Banded rock rattlesnake,amph/rep,San Antonio
Banded rock rattlesnake,amph/rep,San Antonio
Bearded dragon,amph/rep,San Antonio
Bismarck ringed python,amph/rep,San Antonio
Black milksnake,amph/rep,San Antonio
Black wood turtle,amph/rep,San Antonio
Blue ameiva,amph/rep,San Antonio
Broad-banded copperhead,amph/rep,San Antonio
Bull snake,amph/rep,San Antonio
Caatinga lancehead,amph/rep,San Antonio
Cagle’s map turtle,amph/rep,San Antonio
California kingsnake,amph/rep,San Antonio
Central Sierra Madre spiny lizard,amph/rep,San Antonio
Coahuilan box turtle,amph/rep,San Antonio
Corn snake,amph/rep,San Antonio
Crocodile lizard,amph/rep,San Antonio
Cross-banded rattlesnake,amph/rep,San Antonio
Cuvier’s iguana,amph/rep,San Antonio
Desert iguana,amph/rep,San Antonio
Desert kingsnake,amph/rep,San Antonio
Dumeril's ground boa,amph/rep,San Antonio
Dunn's hognose viper,amph/rep,San Antonio
Durango mountain kingsnake,amph/rep,San Antonio
Dwarf caiman,amph/rep,San Antonio
Dwarf crocodile,amph/rep,San Antonio
East African green mamba,amph/rep,San Antonio
Eastern blue-tongue skink,amph/rep,San Antonio
Eastern box turtle,amph/rep,San Antonio
Egyptian cobra,amph/rep,San Antonio
Emerald alligator lizard,amph/rep,San Antonio
Eyelash palm-pitviper,amph/rep,San Antonio
False gavial,amph/rep,San Antonio
Fiji Island banded iguana,amph/rep,San Antonio
Flap-shelled turtles,amph/rep,San Antonio
Florida kingsnake,amph/rep,San Antonio
Florida softshelled turtle,amph/rep,San Antonio
Gaboon Viper,amph/rep,San Antonio
Gharial,amph/rep,San Antonio
Giant South American river turtle,amph/rep,San Antonio
Gibson’s lined pine snake,amph/rep,San Antonio
Green anaconda,amph/rep,San Antonio
Green tree python,amph/rep,San Antonio
Grey-banded kingsnake,amph/rep,San Antonio
Guatemalan palm viper,amph/rep,San Antonio
Habu,amph/rep,San Antonio
Hamilton’s pond turtle,amph/rep,San Antonio
Huamantlan rattlesnake,amph/rep,San Antonio
King cobra,amph/rep,San Antonio
Komodo dragon,amph/rep,San Antonio
Leopard gecko,amph/rep,San Antonio
Madagascar ground boa,amph/rep,San Antonio
Malaysian painted terrapin,amph/rep,San Antonio
Mang Mountain viper,amph/rep,San Antonio
March's palm-pitviper,amph/rep,San Antonio
Matamata,amph/rep,San Antonio
Mexican beaded lizard,amph/rep,San Antonio
Mexican black-tailed pitviper,amph/rep,San Antonio
Mexican giant musk turtle,amph/rep,San Antonio
Mexican ground alligator lizard,amph/rep,San Antonio
Mexican lance-headed rattlesnake,amph/rep,San Antonio
Mexican milksnake,amph/rep,San Antonio
Mexican pigmy rattlesnake,amph/rep,San Antonio
Mexican Twin-spotted rattlesnake,amph/rep,San Antonio
Mixtecan alligator lizard,amph/rep,San Antonio
Mottled rock rattlesnake,amph/rep,San Antonio
New Mexico ridge-nose rattlesnake,amph/rep,San Antonio
Nile crocodile,amph/rep,San Antonio
Northern blue-tongue skink,amph/rep,San Antonio
Northwestern Neotropical rattlesnake,amph/rep,San Antonio
Oaxacan alligator lizard,amph/rep,San Antonio
Olmec viper,amph/rep,San Antonio
Orinoco crocodile,amph/rep,San Antonio
Prehensile-tailed skink,amph/rep,San Antonio
Pueblan milksnake,amph/rep,San Antonio
Queretaran dusky rattlesnake,amph/rep,San Antonio
Radiated tortoise,amph/rep,San Antonio
Red spitting cobra,amph/rep,San Antonio
Red-eared slider,amph/rep,San Antonio
Reticulated python,amph/rep,San Antonio
Rhinoceros snake,amph/rep,San Antonio
Rhinoceros viper,amph/rep,San Antonio
Rosy boa,amph/rep,San Antonio
Rowley's palm-pitviper,amph/rep,San Antonio
Russian blunt-nosed viper,amph/rep,San Antonio
San Luis mountain kingsnake,amph/rep,San Antonio
Savu Island python,amph/rep,San Antonio
Schelopusik,amph/rep,San Antonio
Snub-nosed viper,amph/rep,San Antonio
Southern lined pine snake,amph/rep,San Antonio
Southern ridge-nose rattlesnake,amph/rep,San Antonio
Southern Sierra Madre spiny lizard,amph/rep,San Antonio
Speckled palm pitviper,amph/rep,San Antonio
Spiny-tailed agama,amph/rep,San Antonio
Spiny-tailed monitor,amph/rep,San Antonio
Standing's day gecko,amph/rep,San Antonio
Tamaulipan flat rock lizard,amph/rep,San Antonio
Tamaulipan night lizard,amph/rep,San Antonio
Tamaulipan rat snake,amph/rep,San Antonio
Tamaulipan rock rattlesnake,amph/rep,San Antonio
Taylor’s cantil,amph/rep,San Antonio
Tentacled snake,amph/rep,San Antonio
Terciopelo,amph/rep,San Antonio
Texas slider,amph/rep,San Antonio
Texas tortoise,amph/rep,San Antonio
Thai bamboo ratsnake,amph/rep,San Antonio
Tomistoma,amph/rep,San Antonio
Totonacan rattlesnake,amph/rep,San Antonio
Trans-Pecos ratsnake,amph/rep,San Antonio
Vogel’s river turtle,amph/rep,San Antonio
Wagler's viper,amph/rep,San Antonio
West African green mamba,amph/rep,San Antonio
Western cottonmouth,amph/rep,San Antonio
Western diamondback rattlesnake,amph/rep,San Antonio
Western hognose snake,amph/rep,San Antonio
Western painted turtle,amph/rep,San Antonio
Yellow sided twist neck turtle,amph/rep,San Antonio
Yellow-spotted Amazon River turtle,amph/rep,San Antonio
African bullfrog,amph/rep,San Antonio
American bullfrog,amph/rep,San Antonio
Aquatic caecilian,amph/rep,San Antonio
Axolotl,amph/rep,San Antonio
Barred tiger salamander,amph/rep,San Antonio
Black-spotted newts,amph/rep,San Antonio
Blue poison arrow frog,amph/rep,San Antonio
Borneo eared frog,amph/rep,San Antonio
Comal blind salamander,amph/rep,San Antonio
Dying poison arrow frog,amph/rep,San Antonio
Emperor Newts,amph/rep,San Antonio
European fire salamander,amph/rep,San Antonio
Giant marine toad,amph/rep,San Antonio
Giant tree frog,amph/rep,San Antonio
Golden dart frogs,amph/rep,San Antonio
Golden Frog,amph/rep,San Antonio
Golden mantella,amph/rep,San Antonio
Green Toad,amph/rep,San Antonio
Green tree frog,amph/rep,San Antonio
Green-and-black poison arrow frog,amph/rep,San Antonio
Gulf Coast toad,amph/rep,San Antonio
Japanese giant salamander,amph/rep,San Antonio
Puerto Rican crested toad,amph/rep,San Antonio
Red-eyed tree frog,amph/rep,San Antonio
Red-spotted toad,amph/rep,San Antonio
Rio Grande leopard frog,amph/rep,San Antonio
Rio Grande siren,amph/rep,San Antonio
