Date,Source,Site ID,POC,Daily Mean Pb Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/20/2017,AQS,271377549,1,0.002,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
3/26/2017,AQS,271377549,1,0,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
4/1/2017,AQS,271377549,1,0.005,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
4/7/2017,AQS,271377549,1,0.006,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
4/13/2017,AQS,271377549,1,0.003,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
4/19/2017,AQS,271377549,1,0,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
5/1/2017,AQS,271377549,1,0,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
5/7/2017,AQS,271377549,1,0,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
5/19/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
5/31/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
6/6/2017,AQS,271377549,1,0.003,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
6/12/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
6/18/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
6/24/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
6/30/2017,AQS,271377549,1,0.002,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
7/6/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
